"cik";"accensionNumber";"reportDate";"form";"doc_link"
"0000707549";"0000707549-23-000102";"2023-06-25";"10-K";"lrcx-20230625.htm"
"0000831001";"0000831001-24-000033";"2023-12-31";"10-K";"c-20231231.htm"
"316709";"0000316709-24-000018";"2023-12-31";"10-K";"schw-20231231.htm"
"936468";"0000936468-24-000010";"2023-12-31";"10-K";"lmt-20231231.htm"
"872589";"0001804220-24-000009";"2023-12-31";"10-K";"regn-20231231.htm"
"1156039";"0001156039-24-000015";"2023-12-31";"10-K";"elv-20231231.htm"
"1045609";"0000950170-24-014539";"2023-12-31";"10-K";"pld-20231231.htm"
"885725";"0000885725-24-000017";"2023-12-31";"10-K";"bsx-20231231.htm"
"6281";"0000006281-23-000203";"2023-10-28";"10-K";"adi-20231028.htm"
"12927";"0000012927-24-000010";"2023-12-31";"10-K";"ba-20231231.htm"
"320187";"0000320187-23-000039";"2023-05-31";"10-K";"nke-20230531.htm"
"1404912";"0001404912-24-000005";"2023-12-31";"10-K";"kkr-20231231.htm"
"1327567";"0001327567-23-000024";"2023-07-31";"10-K";"panw-20230731.htm"
"0000319201";"0000319201-23-000031";"2023-06-30";"10-K";"klac-20230630.htm"
"1596532";"0001596532-24-000043";"2023-12-31";"10-K";"anet-20231231.htm"
"62709";"0000062709-24-000016";"2023-12-31";"10-K";"mmc-20231231.htm"
"1090727";"0001090727-24-000008";"2023-12-31";"10-K";"ups-20231231.htm"
"896159";"0000896159-24-000003";"2023-12-31";"10-K";"cb-20231231.htm"
"315189";"0001558370-23-019812";"2023-10-29";"10-K";"de-20231029x10k.htm"
"1613103";"0001613103-23-000040";"2023-04-28";"10-K";"mdt-20230428.htm"
"8670";"0000008670-23-000030";"2023-06-30";"10-K";"adp-20230630.htm"
"1053507";"0001053507-24-000011";"2023-12-31";"10-K";"amt-20231231.htm"
"1739940";"0001739940-24-000005";"2023-12-31";"10-K";"ci-20231231.htm"
"0001559720";"0001559720-24-000006";"2023-12-31";"10-K";"abnb-20231231.htm"
"798354";"0000798354-24-000037";"2023-12-31";"10-K";"fi-20231231.htm"
"883241";"0000883241-23-000019";"2023-10-31";"10-K";"snps-20231031.htm"
"1571996";"0001571996-23-000007";"2023-02-03";"10-K";"dell-20230203.htm"
"92122";"0000092122-24-000009";"2023-12-31";"10-K";"so-20231231.htm"
"860730";"0000950170-24-016524";"2023-12-31";"10-K";"hca-20231231.htm"
"882095";"0000882095-24-000007";"2023-12-31";"10-K";"gild-20231231.htm"
"1103982";"0001103982-24-000019";"2023-12-31";"10-K";"mdlz-20231231.htm"
"823768";"0001558370-24-001049";"2023-12-31";"10-K";"wm-20231231x10k.htm"
"89800";"0000089800-24-000033";"2023-12-31";"10-K";"shw-20231231.htm"
"829224";"0000829224-23-000058";"2023-10-01";"10-K";"sbux-20231001.htm"
"1099590";"0001099590-24-000008";"2023-12-31";"10-K";"meli-20231231.htm"
"14272";"0000014272-24-000044";"2023-12-31";"10-K";"bmy-20231231.htm"
"1571949";"0001571949-24-000007";"2023-12-31";"10-K";"ice-20231231.htm"
"764180";"0000764180-24-000018";"2023-12-31";"10-K";"mo-20231231.htm"
"0001326160";"0001326160-24-000037";"2023-12-31";"10-K";"duk-20231231.htm"
"0001059556";"0001059556-24-000017";"2023-12-31";"10-K";"mco-20231231.htm"
"0001555280";"0001555280-24-000143";"2023-12-31";"10-K";"zts-20231231.htm"
"1001838";"0001558370-24-002119";"2023-12-31";"10-K";"scco-20231231x10k.htm"
"40533";"0000040533-24-000007";"2023-12-31";"10-K";"gd-20231231.htm"
"820313";"0001558370-24-000866";"2023-12-31";"10-K";"aph-20231231x10k.htm"
"21665";"0000021665-24-000003";"2023-12-31";"10-K";"cl-20231231.htm"
"1466258";"0001466258-24-000047";"2023-12-31";"10-K";"tt-20231231.htm"
"895728";"0000895728-24-000007";"2023-12-31";"10-K";"enb-20231231.htm"
"723254";"0000723254-23-000025";"2023-05-31";"10-K";"ctas-20230531.htm"
"813672";"0000813672-24-000034";"2023-12-31";"10-K";"cdns-20231231.htm"
"16875";"0000016875-24-000009";"2023-12-31";"10-K";"cp-20231231.htm"
"1101239";"0001628280-24-005350";"2023-12-31";"10-K";"eqix-20231231.htm"
"927653";"0000927653-23-000038";"2023-03-31";"10-K";"mck-20230331.htm"
"1048911";"0000950170-23-033201";"2023-05-31";"10-K";"fdx-20230531.htm"
"64803";"0000064803-24-000007";"2023-12-31";"10-K";"cvs-20231231.htm"
"49826";"0000049826-24-000008";"2023-12-31";"10-K";"itw-20231231.htm"
"1058090";"0001562762-24-000023";"2023-12-31";"10-K";"cmg-20231231x10k.htm"
"0001260221";"0001260221-23-000081";"2023-09-30";"10-K";"tdg-20230930.htm"
"821189";"0000821189-24-000011";"2023-12-31";"10-K";"eog-20231231.htm"
"1156375";"0001156375-24-000010";"2023-12-31";"10-K";"cme-20231231.htm"
"0000713676";"0000713676-24-000028";"2023-12-31";"10-K";"pnc-20231231.htm"
"76334";"0000076334-23-000042";"2023-06-30";"10-K";"ph-20230630.htm"
"36104";"0000036104-24-000018";"2023-12-31";"10-K";"usb-20231231.htm"
"1858681";"0001858681-24-000031";"2023-12-31";"10-K";"apo-20231231.htm"
"31462";"0001558370-24-001581";"2023-12-31";"10-K";"ecl-20231231x10k.htm"
"87347";"0000950170-24-006884";"2023-12-31";"10-K";"slb-20231231.htm"
"27419";"0000027419-23-000015";"2023-01-28";"10-K";"tgt-20230128.htm"
"1048286";"0001628280-24-004372";"2023-12-31";"10-K";"mar-20231231.htm"
"10795";"0000010795-23-000098";"2023-09-30";"10-K";"bdx-20230930.htm"
"32604";"0000032604-23-000044";"2023-09-30";"10-K";"emr-20230930.htm"
"1535527";"0001535527-23-000008";"2023-01-31";"10-K";"crwd-20230131.htm"
"68505";"0000068505-24-000008";"2023-12-31";"10-K";"msi-20231231.htm"
"277948";"0000277948-24-000010";"2023-12-31";"10-K";"csx-20231231.htm"
"0001413447";"0001413447-24-000013";"2023-12-31";"10-K";"nxpi-20231231.htm"
"766704";"0000766704-24-000008";"2023-12-31";"10-K";"well-20231231.htm"
"1133421";"0001133421-24-000006";"2023-12-31";"10-K";"noc-20231231.htm"
"315293";"0001628280-24-005392";"2023-12-31";"10-K";"aon-20231231.htm"
"1061219";"0001061219-24-000006";"2023-12-31";"10-K";"form10k.htm"
"831259";"0000831259-24-000011";"2023-12-31";"10-K";"fcx-20231231.htm"
"0001321655";"0001321655-24-000022";"2023-12-31";"10-K";"pltr-20231231.htm"
"1679788";"0001679788-24-000022";"2023-12-31";"10-K";"coin-20231231.htm"
"1633917";"0001633917-24-000024";"2023-12-31";"10-K";"pypl-20231231.htm"
"1060391";"0001060391-24-000142";"2023-12-31";"10-K";"rsg-20231231.htm"
"898173";"0000898173-24-000009";"2023-12-31";"10-K";"orly-20231231x10k.htm"
"1783180";"0001783180-24-000009";"2023-12-31";"10-K";"carr-20231231.htm"
"882835";"0000882835-24-000008";"2023-12-31";"10-K";"rop-20231231.htm"
"1327811";"0001327811-23-000024";"2023-01-31";"10-K";"wday-20230131.htm"
"0001868275";"0001868275-24-000014";"2023-12-31";"10-K";"ceg-20231231.htm"
"354190";"0000950170-24-013370";"2023-12-31";"10-K";"ajg-20231231.htm"
"1835632";"0001835632-23-000013";"2023-01-28";"10-K";"mrvl-20230128.htm"
"92230";"0000092230-24-000010";"2023-12-31";"10-K";"tfc-20231231.htm"
"1063761";"0001558370-24-001532";"2023-12-31";"10-K";"spg-20231231x10k.htm"
"882184";"0000882184-23-000115";"2023-09-30";"10-K";"dhi-20230930.htm"
"1534701";"0001534701-24-000078";"2023-12-31";"10-K";"psx-20231231.htm"
"66740";"0000066740-24-000016";"2023-12-31";"10-K";"mmm-20231231.htm"
"1222333";"0001437749-23-032876";"2023-09-30";"10-K";"gld20230930_10k.htm"
"0001510295";"0001510295-24-000015";"2023-12-31";"10-K";"mpc-20231231.htm"
"849395";"0001628280-24-007773";"2023-12-31";"10-K";"crh-20231231.htm"
"2969";"0000002969-23-000047";"2023-09-30";"10-K";"apd-20230930.htm"
"927628";"0000927628-24-000094";"2023-12-31";"10-K";"cof-20231231.htm"
"1585689";"0001585689-24-000027";"2023-12-31";"10-K";"hlt-20231231.htm"
"37996";"0000037996-24-000009";"2023-12-31";"10-K";"f-20231231.htm"
"1276187";"0001276187-24-000024";"2023-12-31";"10-K";"et-20231231.htm"
"1164727";"0001164727-24-000016";"2023-12-31";"10-K";"nem-20231231.htm"
"107263";"0000107263-24-000019";"2023-12-31";"10-K";"wmb-20231231.htm"
"4977";"0000004977-24-000053";"2023-12-31";"10-K";"afl-20231231.htm"
"1099219";"0001099219-24-000035";"2023-12-31";"10-K";"met-20231231.htm"
"797468";"0000797468-24-000034";"2023-12-31";"10-K";"oxy-20231231.htm"
"769397";"0000769397-23-000036";"2023-01-31";"10-K";"adsk-20230131.htm"
"1393311";"0001393311-24-000043";"2023-12-31";"10-K";"psa-20231231.htm"
"1467858";"0001467858-24-000031";"2023-12-31";"10-K";"gm-20231231.htm"
"1099800";"0001099800-24-000004";"2023-12-31";"10-K";"ew-20231231.htm"
"1297996";"0001558370-24-001575";"2023-12-31";"10-K";"dlr-20231231x10k.htm"
"1381197";"0001381197-24-000083";"2023-12-31";"10-K";"ibkr-20231231x10k.htm"
"5272";"0000005272-24-000023";"2023-12-31";"10-K";"aig-20231231.htm"
"75362";"0000950170-24-017900";"2023-12-31";"10-K";"pcar-20231231.htm"
"702165";"0000702165-24-000005";"2023-12-31";"10-K";"nsc-20231231.htm"
"900075";"0000900075-23-000034";"2023-07-31";"10-K";"cprt-20230731.htm"
"866787";"0001558370-23-016668";"2023-08-26";"10-K";"azo-20230826x10k.htm"
"1067701";"0001067701-24-000007";"2023-12-31";"10-K";"uri-20231231.htm"
"726728";"0000726728-24-000047";"2023-12-31";"10-K";"o-20231231.htm"
"865752";"0001104659-24-029425";"2023-12-31";"10-K";"mnst-20231231x10k.htm"
"4904";"0000004904-24-000020";"2023-12-31";"10-K";"aep-20231231.htm"
"0001032208";"0001032208-24-000007";"2023-12-31";"10-K";"sre-20231231.htm"
"1671933";"0001671933-24-000014";"2023-12-31";"10-K";"ttd-20231231.htm"
"1039684";"0001039684-24-000015";"2023-12-31";"10-K";"oke-20231231.htm"
"827054";"0000827054-23-000080";"2023-03-31";"10-K";"mchp-20230331.htm"
"1035002";"0001035002-24-000007";"2023-12-31";"10-K";"vlo-20231231.htm"
"1506307";"0001506307-24-000011";"2023-12-31";"10-K";"kmi-20231231.htm"
"745732";"0000745732-23-000013";"2023-01-28";"10-K";"rost-20230128.htm"
"1004980";"0001004980-24-000014";"2023-12-31";"10-K";"pcg-20231231.htm"
"30554";"0001755672-24-000004";"2023-12-31";"10-K";"ctva-20231231.htm"
"920760";"0001628280-24-002371";"2023-11-30";"10-K";"len-20231130.htm"
"86312";"0000086312-24-000012";"2023-12-31";"10-K";"trv-20231231.htm"
"1176948";"0001628280-24-007014";"2023-12-31";"10-K";"ares-20231231.htm"
"1390777";"0001390777-24-000051";"2023-12-31";"10-K";"bk-20231231.htm"
"277135";"0000277135-24-000011";"2023-12-31";"10-K";"gww-20231231.htm"
"1318220";"0001558370-24-001109";"2023-12-31";"10-K";"wcn-20231231x10k.htm"
"49071";"0000049071-24-000012";"2023-12-31";"10-K";"hum-20231231.htm"
"833444";"0000833444-23-000048";"2023-09-30";"10-K";"jci-20230930.htm"
"1682852";"0001682852-24-000015";"2023-12-31";"10-K";"mrna-20231231.htm"
"1385157";"0001558370-23-018833";"2023-09-29";"10-K";"tel-20230929x10k.htm"
"1091667";"0001091667-24-000028";"2023-12-31";"10-K";"chtr-20231231.htm"
"1375365";"0001375365-23-000036";"2023-06-30";"10-K";"smci-20230630.htm"
"55785";"0000055785-24-000018";"2023-12-31";"10-K";"kmb-20231231.htm"
"899051";"0000899051-24-000013";"2023-12-31";"10-K";"all-20231231.htm"
"1650372";"0001650372-23-000040";"2023-06-30";"10-K";"team-20230630.htm"
"202058";"0000202058-24-000029";"2023-12-29";"10-K";"hrs-20231229.htm"
"1051470";"0001051470-24-000062";"2023-12-31";"10-K";"cci-20231231.htm"
"4447";"0001628280-24-006845";"2023-12-31";"10-K";"hes-20231231.htm"
"1093557";"0001093557-24-000021";"2023-12-31";"10-K";"dxcm-20231231.htm"
"1280452";"0001437749-24-006133";"2023-12-31";"10-K";"mpwr20231231_10k.htm"
"1137774";"0001137774-24-000045";"2023-12-31";"10-K";"pru-20231231.htm"
"16918";"0000016918-23-000045";"2023-02-28";"10-K";"stz-20230228.htm"
"723531";"0000950170-23-032988";"2023-05-31";"10-K";"payx-20230531.htm"
"1418135";"0001418135-24-000007";"2023-12-31";"10-K";"kdp-20231231.htm"
"1640147";"0001640147-23-000030";"2023-01-31";"10-K";"snow-20230131.htm"
"1262039";"0001262039-24-000014";"2023-12-31";"10-K";"ftnt-20231231.htm"
"1140859";"0001140859-23-000197";"2023-09-30";"10-K";"cor-20230930.htm"
"0001552000";"0001552000-24-000007";"2023-12-31";"10-K";"mplx-20231231.htm"
"0000884887";"0000884887-24-000075";"2023-12-31";"10-K";"rcl-20231231.htm"
"1278680";"0001437749-24-004670";"2023-12-31";"10-K";"iau20231231c_10k.htm"
"1478242";"0001478242-24-000038";"2023-12-31";"10-K";"iqv-20231231.htm"
"1408198";"0001408198-24-000030";"2023-12-31";"10-K";"msci-20231231.htm"
"1792789";"0001628280-24-005600";"2023-12-31";"10-K";"dash-20231231.htm"
"1832433";"0001832433-23-000066";"2023-07-31";"10-K";"ferg-20230731.htm"
"715957";"0000950170-24-019110";"2023-12-31";"10-K";"d-20231231.htm"
"878927";"0000950170-24-020176";"2023-12-31";"10-K";"odfl-20231231.htm"
"0001136893";"0001136893-24-000015";"2023-12-31";"10-K";"fis-20231231.htm"
"820027";"0000820027-24-000015";"2023-12-31";"10-K";"amp-20231231.htm"
"1512673";"0001628280-24-006354";"2023-12-31";"10-K";"sq-20231231.htm"
"1561550";"0001561550-24-000009";"2023-12-31";"10-K";"ddog-20231231.htm"
"1699150";"0001628280-24-006642";"2023-12-31";"10-K";"iri-20231231.htm"
"814547";"0000814547-23-000022";"2023-09-30";"10-K";"fico-20230930.htm"
"3570";"0000003570-24-000040";"2023-12-31";"10-K";"lng-20231231.htm"
"1588489";"0001193125-24-043678";"2023-12-31";"10-K";"d736998d10k.htm"
"1637459";"0001637459-24-000018";"2023-12-30";"10-K";"khc-20231230.htm"
"1037868";"0001037868-24-000009";"2023-12-31";"10-K";"ame-20231231.htm"
"1442145";"0001437749-24-004939";"2023-12-31";"10-K";"vrsk20231231c_10k.htm"
"1781335";"0001781335-24-000013";"2023-12-31";"10-K";"otis-20231231.htm"
"0000874716";"0000874716-24-000057";"2023-12-31";"10-K";"idxx-20231231.htm"
"56873";"0001558370-23-004767";"2023-01-28";"10-K";"kr-20230128x10k.htm"
"1050915";"0001050915-24-000009";"2023-12-31";"10-K";"pwr-20231231.htm"
"815556";"0000815556-24-000009";"2023-12-31";"10-K";"fast-20231231.htm"
"26172";"0000026172-24-000012";"2023-12-31";"10-K";"cmi-20231231.htm"
"73309";"0000950170-24-021195";"2023-12-31";"10-K";"nue-20231231.htm"
"47111";"0000047111-24-000009";"2023-12-31";"10-K";"hsy-20231231.htm"
"1090872";"0001090872-23-000020";"2023-10-31";"10-K";"a-20231031.htm"
"1755672";"0001755672-24-000004";"2023-12-31";"10-K";"ctva-20231231.htm"
"24741";"0001437749-24-003735";"2023-12-31";"10-K";"glw20231231_10k.htm"
"1751788";"0001751788-24-000010";"2023-12-31";"10-K";"dow-20231231.htm"
"712515";"0000712515-23-000028";"2023-03-31";"10-K";"ea-20230331.htm"
"788784";"0001628280-24-006885";"2023-12-31";"10-K";"pseg-20231231.htm"
"49938";"0000049938-24-000010";"2023-12-31";"10-K";"imo-20231231.htm"
"47217";"0000047217-23-000100";"2023-10-31";"10-K";"hpq-20231031.htm"
"1932393";"0001932393-24-000013";"2023-12-31";"10-K";"gehc-20231231.htm"
"1834584";"0001834584-24-000023";"2023-12-31";"10-K";"cpng-20231231.htm"
"1058290";"0001058290-24-000017";"2023-12-31";"10-K";"ctsh-20231231.htm"
"1289490";"0001628280-24-008044";"2023-12-31";"10-K";"exr-20231231.htm"
"96021";"0000096021-23-000117";"2023-07-01";"10-K";"syy-20230701.htm"
"749251";"0000749251-24-000006";"2023-12-31";"10-K";"it-20231231.htm"
"1120193";"0001120193-24-000006";"2023-12-31";"10-K";"ndaq-20231231.htm"
"947484";"0000947484-24-000020";"2023-12-31";"10-K";"acgl-20231231.htm"
"1001250";"0001001250-23-000112";"2023-06-30";"10-K";"el-20230630.htm"
"1635327";"0001193125-24-076966";"2023-12-31";"10-K";"d766413d10k.htm"
"1109357";"0001109357-24-000053";"2023-12-31";"10-K";"exc-20231231.htm"
"40704";"0001193125-23-177500";"2023-05-28";"10-K";"d523469d10k.htm"
"1701605";"0001701605-24-000033";"2023-12-31";"10-K";"bkr-20231231.htm"
"0001041061";"0001041061-24-000011";"2023-12-31";"10-K";"yum-20231231.htm"
"1397187";"0001397187-23-000012";"2023-01-29";"10-K";"lulu-20230129.htm"
"1539838";"0001539838-24-000019";"2023-12-31";"10-K";"fang-20231231.htm"
"1393612";"0001393612-24-000010";"2023-12-31";"10-K";"dfs-20231231.htm"
"916076";"0000950170-24-019275";"2023-12-31";"10-K";"mlm-20231231.htm"
"0001944048";"0001944048-24-000057";"2023-12-31";"10-K";"kvue-20231231.htm"
"0001396009";"0001396009-24-000006";"2023-12-31";"10-K";"vmc-20231231x10k.htm"
"1071739";"0001071739-24-000037";"2023-12-31";"10-K";"cnc-20231231.htm"
"1524472";"0001524472-24-000006";"2023-12-31";"10-K";"xyl-20231231.htm"
"1674101";"0001628280-24-006498";"2023-12-31";"10-K";"vrt-20231231.htm"
"1666700";"0001666700-24-000008";"2023-12-31";"10-K";"dd-20231231.htm"
"4281";"0000004281-24-000007";"2023-12-31";"10-K";"hwm-20231231.htm"
"33185";"0000033185-24-000017";"2023-12-31";"10-K";"efx-20231231.htm"
"1121788";"0000950170-24-017559";"2023-12-30";"10-K";"grmn-20231230.htm"
"875045";"0000875045-24-000009";"2023-12-31";"10-K";"biib-20231231.htm"
"1047862";"0001047862-24-000012";"2023-12-31";"10-K";"ed-20231231.htm"
"1618756";"0001618756-24-000020";"2023-12-31";"10-K";"qsr-20231231.htm"
"1705696";"0001705696-24-000033";"2023-12-31";"10-K";"vici-20231231.htm"
"1097864";"0001628280-24-003201";"2023-12-31";"10-K";"on-20231231.htm"
"1489393";"0001489393-24-000012";"2023-12-31";"10-K";"lyb-20231231.htm"
"1024478";"0001024478-23-000126";"2023-09-30";"10-K";"rok-20230930.htm"
"1402057";"0001402057-24-000015";"2023-12-31";"10-K";"cdw-20231231.htm"
"7084";"0000007084-24-000009";"2023-12-31";"10-K";"adm-20231231.htm"
"1057352";"0001057352-24-000013";"2023-12-31";"10-K";"csgp-20231231.htm"
"72903";"0000072903-24-000034";"2023-12-31";"10-K";"xel-20231231.htm"
"943819";"0000943819-23-000011";"2023-06-30";"10-K";"rmd-20230630.htm"
"1050446";"0000950170-24-015847";"2023-12-31";"10-K";"mstr-20231231.htm"
"1300514";"0001300514-24-000048";"2023-12-31";"10-K";"lvs-20231231.htm"
"1138118";"0001138118-24-000006";"2023-12-31";"10-K";"cbre-20231231.htm"
"1393052";"0001393052-23-000025";"2023-01-31";"10-K";"veev-20230131.htm"
"0001389170";"0000950170-24-015841";"2023-12-31";"10-K";"trgp-20231231.htm"
"874766";"0000874766-24-000016";"2023-12-31";"10-K";"hig-20231231.htm"
"1805284";"0001805284-24-000009";"2023-12-31";"10-K";"rkt-20231231.htm"
"1178670";"0001178670-24-000008";"2023-12-31";"10-K";"alny-20231231.htm"
"79879";"0000079879-24-000040";"2023-12-31";"10-K";"ppg-20231231.htm"
"943452";"0001628280-24-004774";"2023-12-31";"10-K";"wab-20231231.htm"
"0000915912";"0000915912-24-000004";"2023-12-31";"10-K";"avb-20231231.htm"
"45012";"0000045012-24-000007";"2023-12-31";"10-K";"hal-20231231.htm"
"1020569";"0001020569-24-000040";"2023-12-31";"10-K";"irm-20231231.htm"
"1823945";"0001823945-24-000016";"2023-12-31";"10-K";"owl-20231231.htm"
"1037646";"0001037646-24-000007";"2023-12-31";"10-K";"mtd-20231231.htm"
"916365";"0000916365-24-000046";"2023-12-30";"10-K";"tsco-20231230.htm"
"1713683";"0001713683-23-000113";"2023-07-31";"10-K";"zs-20230731.htm"
"827052";"0000827052-24-000013";"2023-12-31";"10-K";"eix-20231231x10k.htm"
"36270";"0000950170-24-017990";"2023-12-31";"10-K";"mtb-20231231.htm"
"1090012";"0000950170-24-021781";"2023-12-31";"10-K";"dvn-20231231.htm"
"27904";"0000027904-24-000003";"2023-12-31";"10-K";"dal-20231231.htm"
"0000035527";"0000035527-24-000088";"2023-12-31";"10-K";"fitb-20231231.htm"
"0001692819";"0001692819-24-000012";"2023-12-31";"10-K";"vistra-20231231.htm"
"1013462";"0001013462-24-000007";"2023-12-31";"10-K";"anss-20231231.htm"
"1506293";"0001506293-24-000018";"2023-12-31";"10-K";"pins-20231231.htm"
"79282";"0000950170-24-018890";"2023-12-31";"10-K";"bro-20231231.htm"
"46619";"0000046619-23-000163";"2023-10-31";"10-K";"hei-20231031.htm"
"1751008";"0001751008-24-000012";"2023-12-31";"10-K";"app-20231231.htm"
